0,"Agol, Ian",671767,,,,,,,,,,
1,"Andersen, Jørgen",604180,,,,,,,,,,
2,"Athreya, Jayadev",663249,,,,,,,,,,
3,"Baraglia, David",912405,,,,,,,,,,
4,"Basmajian, Ara",290166,,,,,,,,,,
5,"Belolipetsky, Mikhail",627760,,,,,,,,,,
6,"Benoist, Yves",213892,,,,,,,,,,
7,"Biquard, Olivier",312126,,,,,,,,,,
8,"Boden, Hans",312802,,,,,,,,,,
9,"Boileau, Michel",38785,,,,,,,,,,
10,"Bonahon, Francis",39080,,,,,,,,,,
11,"Boyer, Steven",219677,,,,,,,,,,
12,"Bradlow, Steven",304864,,,,,,,,,,
13,"Bridgeman, Martin",360507,,,,,,,,,,
14,"Bowen, Lewis",671629,,,,,,,,,,
15,"Brock, Jeffrey",328097,,,,,,,,,,
16,"Bromberg, Kenneth",687266,,,,,,,,,,
17,"Bucher, Michelle",675963,,,,,,,,,,
18,"Burger, Marc",215170,,,,,,,,,,
19,"Calegari, Danny",605373,,,,,,,,,,
20,"Canary, Richard",248015,,,,,,,,,,
21,"Charette, Virginie",670970,,,,,,,,,,
22,"Cooper, Daryl",239760,,,,,,,,,,
23,"Culler, Marc",53270,,,,,,,,,,
24,"Daskalopoulos, Georgios",313609,,,,,,,,,,
25,"Delp, Kelly",815548,,,,,,,,,,
26,"Deraux, Martin",740008,,,,,,,,,,
27,"Drumm, Todd",291438,,,,,,,,,,
28,"Duchin, Moon",822577,,,,,,,,,,
29,"Dumas, David",796273,,,,,,,,,,
30,"Dumitrescu, Sorin",658371,,,,,,,,,,
31,"Dunfield, Nathan",341957,,,,,,,,,,
32,"Eskin, Alex",253227,,,,,,,,,,
33,"Falbel, Elisha",321364,,,,,,,,,,
34,"Farb, Benson",329207,,,,,,,,,,
35,"Frigerio, Roberto",717335,,,,,,,,,,
36,"Florentino, Carlos",690516,,,,,,,,,,
37,"Fock, Vladimir",277295,,,,,,,,,,
38,"Forni, Giovanni",308447,,,,,,,,,,
39,"Funar, Louis",70100,,,,,,,,,,
40,"Futer, David",671567,,,,,,,,,,
41,"Gabai, David",195365,,,,,,,,,,
42,"Gadre, Vaibhav",948082,,,,,,,,,,
43,"García-Prada, Oscar",341742,,,,,,,,,,
44,"Gilman, Jane",190609,,,,,,,,,,
45,"Glasner, Yair",673281,,,,,,,,,,
46,"Goldman, William",74725,,,,,,,,,,
47,"Goncharov, Alexander",229715,,,,,,,,,,
48,"Görner, Matthias",1100669,,,,,,,,,,
49,"Gothen, Peter",355366,,,,,,,,,,
50,"Gualtieri, Marco",757489,,,,,,,,,,
51,"Guichard, Olivier",743876,,,,,,,,,,
52,"Guzman, Rosemary",1073989,,,,,,,,,,
53,"Haettel, Thomas",905915,,,,,,,,,,
54,"Hausel, Tamás",333845,,,,,,,,,,
55,"Huang, Zheng",759027,,,,,,,,,,
56,"Iozzi, Alessandra",199039,,,,,,,,,,
57,"Jeffrey, Lisa",307032,,,,,,,,,,
58,"Ji, Lizhen",290412,,,,,,,,,,
59,"Judge, Christopher",349512,,,,,,,,,,
60,"Kapovich, Ilya",600076,,,,,,,,,,
61,"Kapovich, Michael",98110,,,,,,,,,,
62,"Kassel, Fanny",870875,,,,,,,,,,
63,"Kent, Richard",695970,,,,,,,,,,
64,"Kerckhoff, Steven",100420,,,,,,,,,,
65,"Klingler, Bruno",611580,,,,,,,,,,
66,"Labourie, François",108970,,,,,,,,,,
67,"Lawton, Sean",802618,,,,,,,,,,
68,"Leininger, Christopher",688414,,,,,,,,,,
69,"Leuzinger, Enrico",307438,,,,,,,,,,
70,"Loftin, John",677695,,,,,,,,,,
71,"Long, Darren",201087,,,,,,,,,,
72,"Luo, Feng",251419,,,,,,,,,,
73,"Lustig, Martin",117090,,,,,,,,,,
74,"Magid, Aaron",871811,,,,,,,,,,
75,"Manning, Jason",690777,,,,,,,,,,
76,"Manon, Christopher",898909,,,,,,,,,,
77,"Marden, Albert",119725,,,,,,,,,,
78,"Masur, Howard",219274,,,,,,,,,,
79,"McReynolds, Ben",746899,,,,,,,,,,
80,"McShane, Greg",358972,,,,,,,,,,
81,"Melnick, Karen",819221,,,,,,,,,,
82,"Millson, John",125000,,,,,,,,,,
83,"Minsky, Yair",308303,,,,,,,,,,
84,"Mirzakhani, Maryam",602134,,,,,,,,,,
85,"Mj, Mahan",606917,,,,,,,,,,
86,"Mulase, Motohico",195516,,,,,,,,,,
87,"Mundet I Riera, Ignasi",642261,,,,,,,,,,
88,"Neumann, Walter",130560,,,,,,,,,,
89,"Oliveira, André Gama",931316,,,,,,,,,,
90,"Palesi, Frederic",902682,,,,,,,,,,
91,"Pansu, Pierre",135745,,,,,,,,,,
92,"Pantev, Tony",346256,,,,,,,,,,
93,"Papadopoulos, Athanase",135835,,,,,,,,,,
94,"Parker, John",319072,,,,,,,,,,
95,"Parlier, Hugo",767561,,,,,,,,,,
96,"Parreau, Anne",670952,,,,,,,,,,
97,"Paulin, Frederic",260394,,,,,,,,,,
98,"Paupert, Julien",751601,,,,,,,,,,
99,"Penner, Robert",137745,,,,,,,,,,
100,"Porti, Joan",360380,,,,,,,,,,
101,"Rafi, Kasra",719537,,,,,,,,,,
102,"Reid, Alan",146355,,,,,,,,,,
103,"Sambarino, Andrés",1062326,,,,,,,,,,
104,"Saric, Dragomir",695566,,,,,,,,,,
105,"Schaffhauser, Florent",745885,,,,,,,,,,
106,"Schlenker, Jean-Mark",362432,,,,,,,,,,
107,"Schlichenmaier, Martin",267553,,,,,,,,,,
108,"Series, Caroline",158880,,,,,,,,,,
109,"Sikora, Adam",364939,,,,,,,,,,
110,"Simpson, Carlos",162625,,,,,,,,,,
111,"Souto, Juan",698455,,,,,,,,,,
112,"Stover, Matthew",828977,,,,,,,,,,
113,"Tan, Ser Peow",331663,,,,,,,,,,
114,"Tao, Jing",984248,,,,,,,,,,
115,"Thurston, Dylan",672424,,,,,,,,,,
116,"Toledo, Domingo",223997,,,,,,,,,,
117,"Tsvietkova, Anastasiia",885824,,,,,,,,,,
118,"Wentworth, Richard",309514,,,,,,,,,,
119,"Wienhard, Anna",714875,,,,,,,,,,
120,"Wilkin, Graeme",794406,,,,,,,,,,
121,"Wilkinson, Amie",611391,,,,,,,,,,
122,"Will, Pierre",756450,,,,,,,,,,
123,"Wolf, Michael",184085,,,,,,,,,,
124,"Wolff, Maxime",699046,,,,,,,,,,
125,"Wolpert, Scott",184255,,,,,,,,,,
126,"Xia, Eugene",612457,,,,,,,,,,
127,"Zhang, Xingru",346629,,,,,,,,,,
128,"Zickert, Christian",796093,,,,,,,,,,
129,"Acosta, Jorge",—,,,,,,,,,,
130,"Allegretti, Dylan",—,,,,,,,,,,
131,"Araújo, Artur",—,,,,,,,,,,
132,"Benson, Brian",892840,,,,,,,,,,
133,"Bering, Edgar",999547,,,,,,,,,,
134,"Bjerre, Mette",—,,,,,,,,,,
135,"Blaavand, Jacob",962384,,,,,,,,,,
136,"Boccalini, Daniele",—,,,,,,,,,,
137,"Bosc, Jean-François",—,,,,,,,,,,
138,"Boubacar, Diallo",—,,,,,,,,,,
139,"Brunebarbe, Yohan",1043053,,,,,,,,,,
140,"Burelle, Jean-Philippe",987073,,,,,,,,,,
141,"Burrin, Claire",—,,,,,,,,,,
142,"Bussi, Vittoria",1093359,,,,,,,,,,
143,"Calvo Pascual, Luis Ángel",—,,,,,,,,,,
144,"Cavazos, Samuel",955036,,,,,,,,,,
145,"Chien, Edward",—,,,,,,,,,,
146,"Chirvasitu, Alexandru",868724,,,,,,,,,,
147,"Clais, Antoine",—,,,,,,,,,,
148,"Coleman, Neal",—,,,,,,,,,,
149,"Collier, Brian",1001357,,,,,,,,,,
150,"Colón, Nelson",—,,,,,,,,,,
151,"Daniel, Jeremy",—,,,,,,,,,,
152,"Das, Kajal",—,,,,,,,,,,
153,"de la Cruz Mengual, Carlos Alberto",—,,,,,,,,,,
154,"Egsgaard, Jens Kristian",—,,,,,,,,,,
155,"Fenyes, Aaron",969784,,,,,,,,,,
156,"Fredrickson, Laura",—,,,,,,,,,,
157,"Fu, Ser-Wei",1084747,,,,,,,,,,
158,"Ghosh, Sourav",—,,,,,,,,,,
159,"Grandi, Riccardo",—,,,,,,,,,,
160,"Guérin, Clément",—,,,,,,,,,,
161,"Gupta, Neha",—,,,,,,,,,,
162,"Hasselstrøm Pedersen, Dennis",—,,,,,,,,,,
163,"Hawes, Thomas",1029435,,,,,,,,,,
164,"Hempel, Maria",—,,,,,,,,,,
165,"Herrera, Yoe",—,,,,,,,,,,
167,"Huang, Andy",—,,,,,,,,,,
168,"Johnson-Freyd, Theo",913559,,,,,,,,,,
169,"Kanstrup, Tina",—,,,,,,,,,,
170,"Khardani, Ali",—,,,,,,,,,,
171,"Kildetoft,Tobias",980885,,,,,,,,,,
172,"Kim, Semin",—,,,,,,,,,,
173,"Korinman, Julien",—,,,,,,,,,,
174,"Kratmann Nissen, Jens-Jacob",—,,,,,,,,,,
175,"Kydonakis, Georgios",—,,,,,,,,,,
176,"Lederle, Waltraud",—,,,,,,,,,,
177,"Leitner, Arielle",—,,,,,,,,,,
178,"Lemaire-Beaucage, Jonathan",—,,,,,,,,,,
179,"Li, Qiongling",—,,,,,,,,,,
180,"Lukyanenko, Anton",995877,,,,,,,,,,
181,"Lupi, Damiano",—,,,,,,,,,,
182,"Mann, Kathryn",978328,,,,,,,,,,
183,"Marseglia, Stéphane",—,,,,,,,,,,
184,"Marzioni, Simone",—,,,,,,,,,,
185,"Masulli, Paolo",—,,,,,,,,,,
186,"Morzadec, Thomas",—,,,,,,,,,,
187,"Nguyen, Thang",—,,,,,,,,,,
188,"Nozad, Azizeh",—,,,,,,,,,,
189,"Pastant, Nickolas",—,,,,,,,,,,
191,"Pecastaing, Vincent",—,,,,,,,,,,
192,"Petri, Bram",—,,,,,,,,,,
193,"Pho-On, Witsarut",—,,,,,,,,,,
194,"Pochon, Romain",—,,,,,,,,,,
195,"Pozzetti, Maria Beatrice",1060633,,,,,,,,,,
196,"Ravelomanana, Huygens Christian",—,,,,,,,,,,
197,"Ray, Brian",979787,,,,,,,,,,
198,"Rolli, Pascal",1100607,,,,,,,,,,
199,"Rubio, Roberto",1032228,,,,,,,,,,
200,"Shakirov, Shamil",816454,,,,,,,,,,
201,"Sikander, Shehryar",—,,,,,,,,,,
202,"Singh, Sukhpreet",—,,,,,,,,,,
203,"Skovgard Poulsen, Niccolo",—,,,,,,,,,,
204,"Smilga, Ilia",1069075,,,,,,,,,,
205,"Solomon, Yitzchak Elchanan",—,,,,,,,,,,
206,"Strenner, Balazs",942053,,,,,,,,,,
207,"Sun, Hongbin",898463,,,,,,,,,,
208,"Sun, Zhe",—,,,,,,,,,,
209,"Sutherland, Thomas",—,,,,,,,,,,
210,"Takenov, Nurdin",—,,,,,,,,,,
211,"Tornier, Stefan",—,,,,,,,,,,
212,"Toulisse, Jérémy",1056878,,,,,,,,,,
213,"Treib, Nicolaus",—,,,,,,,,,,
214,"Ungemach, Weston",—,,,,,,,,,,
215,"Uyanik, Caglar",1083206,,,,,,,,,,
216,"Williams, Harold",1010471,,,,,,,,,,
217,"Work, Grace",—,,,,,,,,,,
218,"Wu, Conan",979247,,,,,,,,,,
219,"Wyss, Dimitri",—,,,,,,,,,,
221,"Ye, Kaidi",—,,,,,,,,,,
222,"Zúñiga, Ronald",—,,,,,,,,,,
223,"Alessandrini, Daniele",849772,,,,,,,,,,
224,"Baba, Shinpei",890605,,,,,,,,,,
225,"Baier, Thomas",895138,,,,,,,,,,
226,"Ballas, Samuel",1084949,,,,,,,,,,
227,"Banks, Jessica",945619,,,,,,,,,,
228,"Brandenbursky, Michael",957049,,,,,,,,,,
229,"Dowdall, Spencer",960056,,,,,,,,,,
230,"Dreyer, Guillaume",1073879,,,,,,,,,,
231,"Fossas, Ariadna",992983,,,,,,,,,,
232,"Fuglede Jørgensen, Søren",1130450,,,,,,,,,,
233,"Garcia Fernandez, Mario",921695,,,,,,,,,,
234,"Gaster, Jonah",—,,,,,,,,,,
235,"Gekhtman, Ilya",—,,,,,,,,,,
236,"Gultepe, Funda",1015517,,,,,,,,,,
237,"Gupta, Subhojoy",1001472,,,,,,,,,,
238,"Hensel, Sebastian",938076,,,,,,,,,,
239,"Hu, Hengnan",1079428,,,,,,,,,,
240,"Lee, Gye-Seon",832440,,,,,,,,,,
241,"Long, Terence",1065383,,,,,,,,,,
242,"Loustau, Brice",1100659,,,,,,,,,,
243,"Maloni, Sarah",905864,,,,,,,,,,
244,"Mercat, Paul",1023146,,,,,,,,,,
245,"Mereb, Martin",870581,,,,,,,,,,
246,"Nie, Xin",—,,,,,,,,,,
247,"Pal, Susovan",1043333,,,,,,,,,,
248,"Patel, Priyam",1064668,,,,,,,,,,
249,"Peón Nieto, Ana",931285,,,,,,,,,,
250,"Roger, Julien",880334,,,,,,,,,,
251,"Rossi Salvemini, Clara",—,,,,,,,,,,
252,"Sanders, Andrew",—,,,,,,,,,,
253,"Schätz, Florian",846369,,,,,,,,,,
254,"Schaposnik, Laura",1013453,,,,,,,,,,
255,"Slutsky, Dmitry",—,,,,,,,,,,
256,"Spinaci, Marco",1086162,,,,,,,,,,
257,"Wong, Michael",—,,,,,,,,,,
258,"Wu, Yunhui",866790,,,,,,,,,,
259,"Xu, Binbin",—,,,,,,,,,,
260,"Yang, Tian",963283,,,,,,,,,,
261,"DeBlois, Jason",785234,,,,,,,,,,
262,"Louwsma, Joel",932716,,,,,,,,,,
263,"Kim, Youngju",852777,,,,,,,,,,
264,"Kahn, Jeremy",318273,,,,,,,,,,
265,"McIntosh, Ian",264357,,,,,,,,,,
266,"Purcell, Jessica",807518,,,,,,,,,,
267,"Weiss, Hartmut",777371,,,,,,,,,,
268,"Fanoni, Federica",1100571,,,,,,,,,,
269,"Alberge, Vincent",—,,,,,,,,,,
270,"Hulin, Dominique",89710,,,,,,,,,,
271,"Bestvina, Mladen",36095,,,,,,,,,,
272,"Delecroix, Vincent",1026380,,,,,,,,,,
273,"Kalfagianni, Efstratia",343511,,,,,,,,,,
274,"Funke, Jens",652687,,,,,,,,,,
275,"Guéritaud, François",710778,,,,,,,,,,
276,"Lecuire, Cyril",734679,,,,,,,,,,
277,"Tang, Robert",1000078,,,,,,,,,,
278,"Di Sarlo, Valentina",983316,,,,,,,,,,
279,"Kent, Curtis",1001390,,,,,,,,,,
280,"Koberda, Thomas",842738,,,,,,,,,,
281,"Kozai, Kenji",874045,,,,,,,,,,
282,"Lee, Michelle",833829,,,,,,,,,,
283,"Linowitz, Benjamin",896775,,,,,,,,,,
284,"Menal-Ferrer, Pere",932049,,,,,,,,,,
285,"Modami, Babak",1126832,,,,,,,,,,
286,"Sahattchieve, Jordan",1111536,,,,,,,,,,
287,"Koch, Sarah",874529,,,,,,,,,,
288,"Mangahas, Johanna",891559,,,,,,,,,,
289,"Taylor, Samuel",905553,,,,,,,,,,
290,"Webb, Richard",1104740,,,,,,,,,,
291,"Zimmer, Andrew",831053,,,,,,,,,,
292,"Ashley, Caleb",—,,,,,,,,,,
293,"Danciger, Jeffrey",772278,,,,,,,,,,
294,"Davison, Ben",940067,,,,,,,,,,
295,"Erlandsson, Viveka",856435,,,,,,,,,,
296,"Frankel, Steven",1010243,,,,,,,,,,
297,"Hagen, Mark",902628,,,,,,,,,,
298,"Kelly, Tyler",874289,,,,,,,,,,
299,"Le, Ian",—,,,,,,,,,,
300,"Mukamel, Ronen",751178,,,,,,,,,,
301,"Mukhopadhyay, Swarnava",1057783,,,,,,,,,,
302,"Rayan, Steven",940734,,,,,,,,,,
303,"Sapir, Jenya",835451,,,,,,,,,,
304,"Sengun, Mehmet",848808,,,,,,,,,,
305,"Sibley, Benjamin",1111546,,,,,,,,,,
306,"Jeon, Bo Gwang",—,,,,,,,,,,
307,"Thomson, Scott",945659,,,,,,,,,,
308,"Abram, Christopher",—,,,,,,,,,,
309,"Arias, Fabián",—,,,,,,,,,,
310,"Cardona, Duván",1039280,,,,,,,,,,
311,"Dannenberg, Ellie",—,,,,,,,,,,
312,"Das, Saikat",—,,,,,,,,,,
313,"Dazier, Benjamin",—,,,,,,,,,,
314,"Duong, Yen",—,,,,,,,,,,
315,"Durham, Matthew",1134962,,,,,,,,,,
316,"Gamard, Lindsey",—,,,,,,,,,,
317,"Granier, Jordane",—,,,,,,,,,,
318,"Hajij, Mustafa",1034245,,,,,,,,,,
319,"Ho, Son",—,,,,,,,,,,
320,"Jeong, Gahye",—,,,,,,,,,,
321,"Khan, Muhammad Ali",—,,,,,,,,,,
322,"Landry, Michael",972745,,,,,,,,,,
323,"Lawson, John",—,,,,,,,,,,
324,"Levcovitz, Ivan",—,,,,,,,,,,
325,"Ma, Tianyu",—,,,,,,,,,,
326,"Malabre, François",—,,,,,,,,,,
327,"Martel, Justin",—,,,,,,,,,,
328,"Renardy, David",1079618,,,,,,,,,,
329,"Reuchsel, Doreen",—,,,,,,,,,,
330,"Reynoso Valle, David",—,,,,,,,,,,
331,"Schilling, Anna-Sofie",—,,,,,,,,,,
332,"Tholozan, Nicolas",—,,,,,,,,,,
333,"Vlamis, Nicholas",1101607,,,,,,,,,,
334,"Watanabe, Yohsuke",—,,,,,,,,,,
335,"Wells, Joseph",—,,,,,,,,,,
336,"Weng, Daping",—,,,,,,,,,,
337,"Wilson, Jonathan",—,,,,,,,,,,
338,"Yarmola, Andrew",—,,,,,,,,,,
339,"Yi, Ren",993178,,,,,,,,,,
340,"Zhang, Tengren",—,,,,,,,,,,
342,"Pei, Du",—,,,,,,,,,,
343,"Aougab, Tarik",866169,,,,,,,,,,
344,"Bell, Mark",—,,,,,,,,,,
345,"Cadorel, Benoit",—,,,,,,,,,,
346,"Cantrell, Michael",941342,,,,,,,,,,
347,"Cavendish, William",904402,,,,,,,,,,
348,"Chodosh, Otis",973224,,,,,,,,,,
349,"Ci, Yongfei",—,,,,,,,,,,
350,"Finkelshtein, Vladimir",—,,,,,,,,,,
351,"Fortier Bourques, Maxime",—,,,,,,,,,,
352,"Francoeur, Dominik",1070495,,,,,,,,,,
353,"Hughes, Richard",—,,,,,,,,,,
354,"Laun, Gregory",—,,,,,,,,,,
355,"Li, Tong",—,,,,,,,,,,
356,"Mann, Brian",1084560,,,,,,,,,,
357,"Maschal, Robert",—,,,,,,,,,,
358,"Nikolaev, Nikita",—,,,,,,,,,,
359,"Rasmussen, Alexander",1061548,,,,,,,,,,
360,"Ruiz, Domingo",—,,,,,,,,,,
361,"Solapurkar, Partha",—,,,,,,,,,,
362,"Studenmund, Daniel",1073329,,,,,,,,,,
363,"Tian, Bo",—,,,,,,,,,,
364,"Tshishiku, Bena",—,,,,,,,,,,
365,"van Limbeek, Wouter",1059784,,,,,,,,,,
366,"Walker, Alden",925092,,,,,,,,,,
367,"Zhu, Yuecheng",—,,,,,,,,,,